,screen_name,name,description,favourites_count,followers_count,following,friends_count,location,profile_image_url,profile_image_url_https,time_zone,url,verified,created_at
0,shaivalgajjar,Shaival Gajjar,| Surprisingly into business these days |,19,49,False,146,"Myrtle Beach, SC, USA",http://pbs.twimg.com/profile_images/3038537932/aa64c796c69aaac831058bddd0c6326e_normal.jpeg,https://pbs.twimg.com/profile_images/3038537932/aa64c796c69aaac831058bddd0c6326e_normal.jpeg,Eastern Time (US & Canada),http://t.co/thg5z1Vcnq,False,Sun Jul 05 19:43:17 +0000 2009
1,jay_thakkar,Jay Thakkar,"Assistant professor at Faculty of Design, CEPT university. Head of Research, Design Innovation and Craft Resource Centre (DICRC)",1,206,False,797,"Ahmedabad, India",http://pbs.twimg.com/profile_images/727572268/jay-thakkar-photo_normal.jpg,https://pbs.twimg.com/profile_images/727572268/jay-thakkar-photo_normal.jpg,Mumbai,http://t.co/mHBOABdRFB,False,Tue Mar 02 12:42:40 +0000 2010
2,black_oum,harsh prajapati,it dint exist...so i created it!!...,0,10,False,46,ahmedabad,http://pbs.twimg.com/profile_images/472109124474253312/uM01kxBS_normal.jpeg,https://pbs.twimg.com/profile_images/472109124474253312/uM01kxBS_normal.jpeg,,,False,Wed Apr 21 05:45:52 +0000 2010
3,biniwalejaydip,Jaydip Biniwale,Accidental Entrepreneur & a perennial critic.,1,18,False,90,Ahmedabad,http://pbs.twimg.com/profile_images/470097193685110784/-5Dm4p53_normal.jpeg,https://pbs.twimg.com/profile_images/470097193685110784/-5Dm4p53_normal.jpeg,,,False,Fri Mar 16 08:16:36 +0000 2012
4,mehulsshah,Mehul Shah,"Father, Husband, Son and Experienced Technology Professional focused on Strategic Alliances & Business Development",95,258,False,943,"vadodara, India",http://pbs.twimg.com/profile_images/1861953143/2012_normal.jpg,https://pbs.twimg.com/profile_images/1861953143/2012_normal.jpg,Quito,http://t.co/zEsXICDKP6,False,Fri Jun 05 16:29:07 +0000 2009
5,NaimishSakhpara,Naimish Sakhpara,,0,8,False,12,,http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,,,False,Wed Apr 23 05:09:31 +0000 2014
6,Abhishek_Gridle,Abhishek Doshi,Creative head & Co-Founder @gridle_in,0,19,False,50,CIIE-IIM-A,http://pbs.twimg.com/profile_images/466978738328969217/2yJBEw6S_normal.jpeg,https://pbs.twimg.com/profile_images/466978738328969217/2yJBEw6S_normal.jpeg,Chennai,http://t.co/GRGzqrhS9p,False,Tue Apr 30 22:43:40 +0000 2013
7,parthgohil09,parthgohil,"friendly,talketive,extrovert,happy,cricket lover,vafrous",55,317,False,942,Ahmedabad,http://pbs.twimg.com/profile_images/415015145157312512/wU_yuJDI_normal.jpeg,https://pbs.twimg.com/profile_images/415015145157312512/wU_yuJDI_normal.jpeg,Chennai,http://t.co/wxRPk6Ud6j,False,Thu Aug 12 05:08:31 +0000 2010
8,gridle_in,Gridle Official,Gridle brings the power of data-visualization to collaboration enabling you to work anywhere with anyone.,0,17,False,9,ahmedabad,http://pbs.twimg.com/profile_images/429586094582013953/bHY7QuzR_normal.png,https://pbs.twimg.com/profile_images/429586094582013953/bHY7QuzR_normal.png,,http://t.co/Th0K7D5W4Q,False,Sat Feb 01 09:07:52 +0000 2014
9,vigneshjayavel,Vignesh Jayavel,"Chennaite, Foooodie, Hacker @freshdesk",13,131,False,218,Chennai,http://pbs.twimg.com/profile_images/465556819801149440/L7vDgler_normal.jpeg,https://pbs.twimg.com/profile_images/465556819801149440/L7vDgler_normal.jpeg,Chennai,http://t.co/GveVsKrjKa,False,Sat Nov 14 18:57:48 +0000 2009
10,Exotel,Exotel,we do magic for your business phone - we marry it with the digital internet age,14,756,False,820,India,http://pbs.twimg.com/profile_images/378800000081426491/8c3e07bceec8d11d777ad1a3aa3d0c5f_normal.png,https://pbs.twimg.com/profile_images/378800000081426491/8c3e07bceec8d11d777ad1a3aa3d0c5f_normal.png,,http://t.co/6qt9LAivFh,False,Mon Jun 20 07:51:31 +0000 2011
11,saumilsapariya,saumil,,1,49,False,211,Ahmedabad,http://pbs.twimg.com/profile_images/378800000430546555/e546fc5c8d90d9ac4c3c87be42624954_normal.jpeg,https://pbs.twimg.com/profile_images/378800000430546555/e546fc5c8d90d9ac4c3c87be42624954_normal.jpeg,Indiana (East),,False,Tue Oct 19 04:05:17 +0000 2010
12,kshitij_pshah,Kshitij Shah,Tennis aficionado & Adventure lover,83,44,False,127,"Surat,India",http://pbs.twimg.com/profile_images/378800000764810200/77bafb4c265e3b03fc0e6d47b4d92de4_normal.jpeg,https://pbs.twimg.com/profile_images/378800000764810200/77bafb4c265e3b03fc0e6d47b4d92de4_normal.jpeg,New Delhi,,False,Wed Oct 13 11:42:15 +0000 2010
13,Duthsahthebard,Bard of Asher,Seeking the true amidst the lie.,2,935,False,2004,Jefferson City TN,http://pbs.twimg.com/profile_images/463668351378522112/N461BkCx_normal.png,https://pbs.twimg.com/profile_images/463668351378522112/N461BkCx_normal.png,Pacific Time (US & Canada),http://t.co/yaQcLyis9W,False,Mon Sep 07 18:42:13 +0000 2009
14,TheLivingBetter,Living Better,"Join our community at @JoinInsight @JoinPulse @JoinDeals to explore the information, news and deals or Join our global team & business partnership @beingLeaders",0,47,False,273,,http://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png,Chennai,,False,Fri Mar 14 16:07:18 +0000 2014
15,bobdiwala,ARIF Y. BOBDIWALA,"Bollywood Hollywood Related Articles, News, Music, Movies And Gallery.",0,16,False,164,Ahmedabad,http://pbs.twimg.com/profile_images/378800000801079697/bfe905380f2831de4e1195eff6b20103_normal.jpeg,https://pbs.twimg.com/profile_images/378800000801079697/bfe905380f2831de4e1195eff6b20103_normal.jpeg,Kolkata,http://t.co/vuPmoxa4ZF,False,Thu Apr 28 12:52:13 +0000 2011
16,hemilshah91,Hemil Shah,,0,9,False,50,,http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,,,False,Sat Jun 25 18:19:30 +0000 2011
17,ninad_acharya,NINAD ACHARYA,,9,29,False,48,,http://pbs.twimg.com/profile_images/2698783676/f31a933d3092184fe282d3eae49ad3a6_normal.png,https://pbs.twimg.com/profile_images/2698783676/f31a933d3092184fe282d3eae49ad3a6_normal.png,,,False,Tue May 04 21:16:51 +0000 2010
18,shiv_arsh,harsh prajapati,,0,4,False,28,"ahmedabad,india",http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,,,False,Sun Dec 04 19:10:40 +0000 2011
19,thelivingbett,Living Better,Living Better’s official twitter stream.  Building high-level global team & business partnership to share a creative and worthwhile business opportunity.,1,85,False,555,,http://pbs.twimg.com/profile_images/440137599533850624/DaBVlfYV_normal.jpeg,https://pbs.twimg.com/profile_images/440137599533850624/DaBVlfYV_normal.jpeg,New Delhi,https://t.co/MoPTa2SnV2,False,Sun Feb 21 08:47:19 +0000 2010
20,shourya_orion,Shourya,,0,5,False,11,Ahmedabad,http://pbs.twimg.com/profile_images/436467076199219200/11o5loHi_normal.jpeg,https://pbs.twimg.com/profile_images/436467076199219200/11o5loHi_normal.jpeg,,,False,Mon Aug 20 19:00:46 +0000 2012
21,parth111007,parth,,0,4,False,3,,http://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png,,,False,Wed Nov 03 09:41:21 +0000 2010
