,screen_name,name,description,favourites_count,followers_count,following,friends_count,location,profile_image_url,profile_image_url_https,time_zone,url,verified,created_at
0,sarahbuhr,Sarah Buhr,Lucid dreamer. Tea drinker. Write for TechCrunch sarah.buhr@techcrunch.com,1602,7801,False,2495,N 34°8' 0'' / W 118°20' 0'',http://pbs.twimg.com/profile_images/468833925452689408/NLrc_svO_normal.jpeg,https://pbs.twimg.com/profile_images/468833925452689408/NLrc_svO_normal.jpeg,Mountain Time (US & Canada),http://t.co/a6OD6SDRqI,False,Thu Jun 26 18:24:30 +0000 2008
1,pjain,Pankaj Jain,Venture Partner at @500Startups.,1718,9634,False,2593,"NYC, New Delhi, Mountain View",http://pbs.twimg.com/profile_images/424339616523894784/UxJVpxSb_normal.jpeg,https://pbs.twimg.com/profile_images/424339616523894784/UxJVpxSb_normal.jpeg,Eastern Time (US & Canada),http://t.co/WsYqfipwfP,False,Mon Apr 07 07:54:54 +0000 2008
2,rajeshsawhney,Rajesh Sawhney,"Founder, GSF Accelerator. Investor in Viki, Mobstac, Pokkt, Hackerearth, Silverpush. Curator of #WhereDoWeGoNow, Global Superangels Forum & Founders Forum India",239,5815,False,253,India,http://pbs.twimg.com/profile_images/378800000355049944/21bf0569cc1eb1986d6d34ff0a2827e6_normal.jpeg,https://pbs.twimg.com/profile_images/378800000355049944/21bf0569cc1eb1986d6d34ff0a2827e6_normal.jpeg,Mumbai,http://t.co/3WF7KDqKOR,False,Thu Jul 16 06:56:24 +0000 2009
3,brijbhasin,Brij Bhasin,"Entrepreneur & VC @gsfindia Like music, movies and reading. Love to discover new experiences. Seeker of whats within.",91,664,False,470,"Bangalore, India",http://pbs.twimg.com/profile_images/433102642139512832/VdwQj6jN_normal.jpeg,https://pbs.twimg.com/profile_images/433102642139512832/VdwQj6jN_normal.jpeg,New Delhi,,False,Thu Feb 12 04:42:36 +0000 2009
4,PeaToTheBee,Priyanka Banerjee ,"19 year old Business major in DU. A blog junkie at heart, obsessed with looking at the bigger picture and in love with all that is witty!
Editor @DU_Beat",39,511,False,675,India ,http://pbs.twimg.com/profile_images/448831222504882176/tfuu2mwa_normal.jpeg,https://pbs.twimg.com/profile_images/448831222504882176/tfuu2mwa_normal.jpeg,Chennai,,False,Sun Nov 27 17:30:25 +0000 2011
5,HilariousEdited,Hilarious Edited,"Stupid pictures from Instagram & Tumblr edited to make you LAUGH! One rule: if you laugh, you RT it.",188,774161,False,107,Universe,http://pbs.twimg.com/profile_images/435087252541018112/PDmL1uqr_normal.png,https://pbs.twimg.com/profile_images/435087252541018112/PDmL1uqr_normal.png,Amsterdam,,False,Thu Apr 12 17:03:02 +0000 2012
6,SooFunnyPost,Funny Tweets LOL,"Funny Tweeting  jokes quotes advice facts Humor that relate to your everyday life. 
#Funny | #Emotional | #Thoughs |  #WTF  #ENJOY
Follow  - @Awsome_Dev",3271,129591,False,18623,Dallas TX US,http://pbs.twimg.com/profile_images/464119962567573505/HxcprlAz_normal.jpeg,https://pbs.twimg.com/profile_images/464119962567573505/HxcprlAz_normal.jpeg,Mumbai,https://t.co/sErfvak5Ve,False,Sun Dec 09 16:31:50 +0000 2012
7,mukund,Mukund Mohan,I help startups at Microsoft Ventures. I do not have an email address. Sorry.,5,12237,False,28,,http://pbs.twimg.com/profile_images/378800000408378123/294bc6b96958ccea5e0bb62c8491cd1b_normal.png,https://pbs.twimg.com/profile_images/378800000408378123/294bc6b96958ccea5e0bb62c8491cd1b_normal.png,Pacific Time (US & Canada),http://t.co/xR4DYT7HGD,False,Sun Mar 11 00:52:58 +0000 2007
8,StartupCatalyst,Startup Catalyst,An Initiative By Canaan Partners.,0,378,False,107,,http://pbs.twimg.com/profile_images/378800000328539009/8e971f7a3a22bd06bb68a707331fc8f6_normal.jpeg,https://pbs.twimg.com/profile_images/378800000328539009/8e971f7a3a22bd06bb68a707331fc8f6_normal.jpeg,New Delhi,,False,Tue Dec 04 11:10:53 +0000 2012
9,RJADITI,Aditi,"An RJ,Foodie & Moody+Filmy-Digital Marketing consultant,Modelling,Travelling,Film reviewer,Apps analysis,Advisor,Event promtion, etc",189,9452,False,480,Ahmedabad Gujrat,http://pbs.twimg.com/profile_images/378800000294707875/73ae2268bfa2d3c898a407a989c2bb65_normal.jpeg,https://pbs.twimg.com/profile_images/378800000294707875/73ae2268bfa2d3c898a407a989c2bb65_normal.jpeg,Hawaii,http://t.co/fIKYiYVhLV,False,Thu Jun 25 05:25:26 +0000 2009
